chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,origin_sample,LABEL
0.25777784,0.05665225,1153.882945,1187.504163,2197.610196,0.047818271,-312.8233,162.01675,-61.895714,39.623966,13.713866,-20.667185,-12.827481,-26.593641,-27.086576,-13.764907,-16.162687,-14.099442,-14.651217,-18.384134,-13.598385,-7.2504673,-8.550237,-8.119597,-6.0384655,-0.65938455,extracted_segment_biden,NEW
0.47094506,0.011116564,1591.814955,1567.73441,2993.35993,0.07981179,-405.95734,129.75883,-48.753292,27.180021,2.2483797,-7.3466945,-10.288822,-15.372568,-10.550386,-11.99022,-10.488756,-11.128973,-11.413856,-11.972097,-14.265336,-9.973248,-10.557502,-7.913071,-6.9242215,-6.1088943,extracted_segment_biden,NEW
0.28015453,0.05320823,1437.124812,1334.938245,2643.200684,0.073896928,-294.60474,143.0034,-56.60934,51.293167,-2.249221,-10.719138,-6.0241017,-27.099154,-26.512062,-7.6544695,-22.712975,-13.364285,-9.874776,-21.772638,-12.316474,-5.8607206,-11.639838,-4.657109,-2.8929267,-4.395682,extracted_segment_biden,NEW
0.27585518,0.03972602,1445.198547,1424.318735,2880.310613,0.061212713,-325.31186,135.92545,-44.649822,60.32205,5.0325356,1.0208815,-7.8234344,-25.529589,-28.527977,-13.141412,-18.5881,-16.588257,-11.798969,-18.65017,-12.012119,-4.254756,-11.062569,-6.5062046,-2.8188188,0.57442945,extracted_segment_biden,NEW
0.2954115,0.038462717,923.24297,1058.264504,1601.042591,0.043978604,-371.28903,181.10806,-37.238514,11.114148,-6.806726,-11.612418,1.6561679,-19.432268,-15.823944,-12.558808,-14.902233,-14.686893,-17.126574,-17.530235,-14.328828,-12.572082,-9.808953,-4.1407895,-4.794268,-0.0698041,extracted_segment_biden,NEW
0.5655714,0.01681707,1561.434714,1562.550428,3006.328791,0.075628107,-406.6422,119.075584,-33.485897,16.792809,6.244162,-10.265661,-9.513844,-16.034254,-13.077051,-6.841405,-8.988669,-10.23341,-9.612675,-11.899277,-13.267289,-10.148965,-9.976955,-8.045118,-4.9231462,-4.508521,extracted_segment_biden,NEW
0.36018935,0.034722544,1806.674268,1468.732884,3113.26072,0.118496982,-306.07632,124.3384,-53.937565,46.500835,-6.643018,-5.841328,-16.559303,-12.577534,-17.30885,-15.552479,-10.465712,-17.358625,-10.000149,-8.359093,-16.451338,-12.697754,-11.3872595,-9.310662,-0.5902765,-2.023202,extracted_segment_biden,NEW
0.47206026,0.021519553,1725.578491,1580.129271,3150.209739,0.099354137,-353.89,128.68224,-47.57604,35.30512,-14.956048,-3.2051444,-12.44287,-11.039379,-16.06218,-9.9157715,-10.661158,-11.798001,-6.226961,-11.976879,-17.071045,-8.700127,-13.502374,-8.307467,-3.428248,-5.349033,extracted_segment_biden,NEW
0.4049621,0.021940857,1710.491532,1522.086177,3143.847656,0.100663619,-354.46133,126.13199,-47.207638,45.79688,-2.7199805,-4.872009,-7.681938,-20.481226,-15.614767,-8.496781,-18.387386,-20.297592,-7.698891,-18.416512,-16.751478,-7.9746614,-15.641395,-6.965746,-5.463474,-3.3927443,extracted_segment_biden,NEW
0.3431781,0.03995556,1694.305333,1486.915212,3119.622803,0.099098899,-317.03268,129.44876,-45.982174,54.245445,-0.7249397,-4.7304845,-10.482067,-26.55293,-23.268688,-11.018652,-16.612131,-15.562143,-15.44488,-15.812165,-15.114364,-9.297176,-11.818274,-7.5086613,-5.084309,-0.17637584,extracted_segment_biden,NEW
0.5166719,0.019569846,1413.299377,1370.997198,2611.634965,0.074962269,-400.61115,151.8993,-56.077843,20.848295,-0.87471575,-11.329682,-1.6464467,-20.412983,-14.091174,-9.726086,-8.88816,-9.709387,-13.946957,-14.120994,-16.277224,-7.315247,-9.282762,-6.0028305,-5.6649585,-5.2899933,extracted_segment_biden,NEW
0.3009054,0.050072428,1025.791276,1232.521925,1934.562544,0.041115501,-326.3704,168.87459,-33.340233,29.393555,-9.303754,-8.804167,-2.8927102,-16.852657,-28.670809,-21.111443,-14.856423,-7.805231,-15.555981,-19.488914,-12.700296,-8.747391,-10.272939,-4.519779,-3.8130143,-2.2055483,extracted_segment_biden,NEW
0.30296648,0.038403153,1123.523001,1234.745599,2079.422275,0.061345881,-344.701,168.68382,-27.835102,35.137337,-7.6679583,-9.719341,-5.673422,-23.072496,-25.100683,-16.168165,-13.881496,-8.752259,-10.153823,-14.319421,-12.55637,-8.663087,-11.176887,-5.719245,-7.750704,-2.1495955,extracted_segment_biden,NEW
0.3802056,0.027361007,1335.244915,1361.580927,2479.254705,0.066040039,-357.0177,153.90761,-49.926586,19.282187,-4.0533156,-6.6712756,-10.917917,-23.876966,-16.421318,-8.158204,-6.765182,-11.459363,-12.316627,-16.34503,-13.943694,-10.1592655,-13.085804,-8.210384,-8.393851,-2.1470945,extracted_segment_biden,NEW
0.27938926,0.048802353,948.7605201,1135.634029,1610.830411,0.041270863,-329.0829,178.42303,-35.679092,23.340576,-10.010084,-7.1453204,-5.2497654,-32.69469,-15.710374,-11.991799,-22.668674,-9.6591425,-9.692507,-16.288824,-11.516692,-11.349105,-12.081409,-6.6816573,-6.2826304,-2.0762267,extracted_segment_biden,NEW
0.24857706,0.049734127,1185.251287,1184.740564,2184.641335,0.061878551,-316.01715,164.70996,-45.8868,30.632332,11.184907,-6.723982,-19.722294,-30.492952,-22.649372,-15.145115,-13.643711,-12.746003,-12.691888,-13.260163,-12.551258,-5.9142194,-14.074423,-12.442908,-3.0818865,-1.6721988,extracted_segment_biden,NEW
0.3507086,0.025535015,1100.109744,1352.590592,2178.034557,0.043079723,-379.14777,152.61295,-30.030945,34.198017,15.30185,-2.9415123,-10.218244,-15.987012,-16.242615,-13.37847,-10.403724,-17.67701,-21.08337,-18.612514,-16.025942,-9.104903,-10.230046,-8.8557205,-7.792618,0.37594587,extracted_segment_biden,NEW
0.47666284,0.038642317,1441.185726,1315.053278,2484.148615,0.089410955,-314.8171,149.74803,-56.17415,24.42673,3.5376189,-14.8742485,-19.910643,-21.596281,-19.82734,-10.201005,-13.360505,-14.636945,-15.70358,-12.163136,-10.770947,-3.2107072,-6.089684,-5.745249,-4.4869566,-4.558468,extracted_segment_biden,NEW
0.33828267,0.043319058,1326.163856,1271.67128,2303.073952,0.074307528,-306.7541,162.86647,-45.03134,38.19962,-5.8950624,-5.0414777,-12.576462,-36.628345,-22.433275,-7.9929338,-21.874952,-9.397355,-10.306548,-16.330524,-5.615183,-4.924931,-13.64992,-6.86404,-4.2930756,-4.426566,extracted_segment_biden,NEW
0.5122503,0.009481719,1701.388185,1525.576983,3049.639893,0.085327148,-404.39102,143.97409,-49.28041,23.443785,-12.06446,-2.626411,-14.237683,-14.355877,-10.452724,-8.464619,-7.434816,-10.2950535,-13.996166,-14.049704,-13.581925,-12.007773,-7.7453923,-12.880273,-5.780801,-2.5982885,extracted_segment_biden,NEW
0.3310907,0.04876546,1571.218123,1445.107139,2846.787331,0.071033825,-284.73196,134.60106,-58.25981,35.831566,-8.906169,-9.6924715,-19.191347,-17.91049,-9.333708,-14.266053,-15.641699,-5.759962,-22.61049,-14.19181,-13.47873,-11.998882,-13.590408,-8.724621,-3.4461274,-4.058387,extracted_segment_biden,NEW
0.30085933,0.037791982,1380.100617,1492.496088,2742.302357,0.058449485,-317.72025,138.90787,-44.492016,38.871487,-3.076796,9.006078,-17.108807,-19.94674,-20.091173,-15.72734,-11.9538355,-15.709418,-17.20387,-11.988169,-13.052072,-13.120007,-6.4605427,-7.29577,-7.874088,-3.1662414,extracted_segment_biden,NEW
0.28723574,0.04459772,1348.082692,1449.865644,2579.824552,0.067582564,-332.94846,136.78934,-36.85151,32.95589,-10.147109,-3.0461602,-11.723208,-17.98306,-22.226706,-15.189706,-6.7809963,-14.654333,-14.134942,-13.7297945,-12.991568,-10.030095,-6.8164625,-5.8902726,-7.4327846,-5.23313,extracted_segment_biden,NEW
0.39044246,0.028816076,1340.956596,1356.974033,2459.923762,0.069480202,-370.51642,137.63281,-36.224472,37.913593,7.656674,-11.363087,-8.87779,-17.403978,-17.868137,-13.862882,-14.632384,-13.727551,-15.721182,-14.270771,-14.706939,-9.715184,-14.01561,-8.537862,-4.1595287,-5.14272,extracted_segment_biden,NEW
